[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Reflection-transmission spinner, Owner=User-1, Creation date=5/11/2015 1:51:45 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Reflection-transmission spinner; Minimum step size Phi:0.1"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Esin Scan.xrdmp, Identifier={545BE9EB-C830-47C9-A564-E4EDE9967014}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,29/Jan/2020 11:27
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.000000001,89.986792989
Scan step size,0.0334225
No. of points, 2094
Scan type,CONTINUOUS
Phi,224.8
Time per step,29.845
[Scan points]
Angle,Intensity
20.016711270,187.0
20.050133807,186.0
20.083556344,163.0
20.116978882,188.0
20.150401419,178.0
20.183823956,173.0
20.217246493,156.0
20.250669031,150.0
20.284091568,171.0
20.317514105,147.0
20.350936642,162.0
20.384359180,163.0
20.417781717,163.0
20.451204254,169.0
20.484626791,137.0
20.518049329,167.0
20.551471866,141.0
20.584894403,155.0
20.618316940,140.0
20.651739478,152.0
20.685162015,163.0
20.718584552,133.0
20.752007089,143.0
20.785429627,150.0
20.818852164,148.0
20.852274701,157.0
20.885697238,145.0
20.919119776,132.0
20.952542313,135.0
20.985964850,146.0
21.019387387,137.0
21.052809925,151.0
21.086232462,144.0
21.119654999,123.0
21.153077536,146.0
21.186500074,162.0
21.219922611,143.0
21.253345148,138.0
21.286767685,162.0
21.320190222,135.0
21.353612760,139.0
21.387035297,122.0
21.420457834,146.0
21.453880371,148.0
21.487302909,161.0
21.520725446,173.0
21.554147983,135.0
21.587570520,129.0
21.620993058,149.0
21.654415595,124.0
21.687838132,133.0
21.721260669,159.0
21.754683207,138.0
21.788105744,157.0
21.821528281,127.0
21.854950818,143.0
21.888373356,147.0
21.921795893,127.0
21.955218430,144.0
21.988640967,136.0
22.022063505,124.0
22.055486042,123.0
22.088908579,129.0
22.122331116,144.0
22.155753654,151.0
22.189176191,149.0
22.222598728,156.0
22.256021265,147.0
22.289443803,141.0
22.322866340,128.0
22.356288877,141.0
22.389711414,152.0
22.423133952,132.0
22.456556489,125.0
22.489979026,125.0
22.523401563,119.0
22.556824100,122.0
22.590246638,133.0
22.623669175,121.0
22.657091712,145.0
22.690514249,140.0
22.723936787,136.0
22.757359324,129.0
22.790781861,125.0
22.824204398,138.0
22.857626936,124.0
22.891049473,137.0
22.924472010,140.0
22.957894547,148.0
22.991317085,121.0
23.024739622,125.0
23.058162159,135.0
23.091584696,108.0
23.125007234,154.0
23.158429771,124.0
23.191852308,127.0
23.225274845,121.0
23.258697383,123.0
23.292119920,145.0
23.325542457,113.0
23.358964994,127.0
23.392387532,111.0
23.425810069,103.0
23.459232606,117.0
23.492655143,108.0
23.526077681,122.0
23.559500218,136.0
23.592922755,116.0
23.626345292,121.0
23.659767830,127.0
23.693190367,117.0
23.726612904,102.0
23.760035441,141.0
23.793457978,129.0
23.826880516,119.0
23.860303053,139.0
23.893725590,124.0
23.927148127,100.0
23.960570665,121.0
23.993993202,124.0
24.027415739,110.0
24.060838276,104.0
24.094260814,121.0
24.127683351,112.0
24.161105888,145.0
24.194528425,139.0
24.227950963,109.0
24.261373500,103.0
24.294796037,110.0
24.328218574,111.0
24.361641112,126.0
24.395063649,105.0
24.428486186,121.0
24.461908723,131.0
24.495331261,119.0
24.528753798,112.0
24.562176335,136.0
24.595598872,114.0
24.629021410,108.0
