[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Reflection-transmission spinner, Owner=User-1, Creation date=5/11/2015 1:51:45 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Reflection-transmission spinner; Minimum step size Phi:0.1"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Esin Scan.xrdmp, Identifier={545BE9EB-C830-47C9-A564-E4EDE9967014}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,29/Jan/2020 11:09
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.000000001,89.986792989
Scan step size,0.0334225
No. of points, 2094
Scan type,CONTINUOUS
Phi,210.3
Time per step,29.845
[Scan points]
Angle,Intensity
20.016711270,175.0
20.050133807,169.0
20.083556344,150.0
20.116978882,148.0
20.150401419,152.0
20.183823956,132.0
20.217246493,156.0
20.250669031,139.0
20.284091568,147.0
20.317514105,136.0
20.350936642,156.0
20.384359180,135.0
20.417781717,133.0
20.451204254,144.0
20.484626791,125.0
20.518049329,120.0
20.551471866,132.0
20.584894403,127.0
20.618316940,136.0
20.651739478,135.0
20.685162015,129.0
20.718584552,136.0
20.752007089,124.0
20.785429627,137.0
20.818852164,126.0
20.852274701,115.0
20.885697238,138.0
20.919119776,134.0
20.952542313,131.0
20.985964850,117.0
21.019387387,134.0
21.052809925,134.0
21.086232462,128.0
21.119654999,136.0
21.153077536,138.0
21.186500074,111.0
21.219922611,127.0
21.253345148,114.0
21.286767685,115.0
21.320190222,125.0
21.353612760,107.0
21.387035297,116.0
21.420457834,147.0
21.453880371,124.0
21.487302909,123.0
21.520725446,105.0
21.554147983,138.0
21.587570520,110.0
21.620993058,128.0
21.654415595,125.0
21.687838132,120.0
21.721260669,107.0
21.754683207,136.0
21.788105744,93.0
21.821528281,105.0
21.854950818,126.0
21.888373356,107.0
21.921795893,120.0
21.955218430,132.0
21.988640967,107.0
22.022063505,99.0
22.055486042,120.0
22.088908579,136.0
22.122331116,126.0
22.155753654,105.0
22.189176191,104.0
22.222598728,103.0
22.256021265,125.0
22.289443803,134.0
22.322866340,109.0
22.356288877,123.0
22.389711414,132.0
22.423133952,120.0
22.456556489,124.0
22.489979026,101.0
22.523401563,132.0
22.556824100,125.0
22.590246638,98.0
22.623669175,108.0
22.657091712,110.0
22.690514249,100.0
22.723936787,85.0
22.757359324,101.0
22.790781861,98.0
22.824204398,102.0
22.857626936,107.0
22.891049473,134.0
22.924472010,111.0
22.957894547,115.0
22.991317085,98.0
23.024739622,99.0
23.058162159,104.0
23.091584696,102.0
23.125007234,109.0
23.158429771,107.0
23.191852308,112.0
23.225274845,111.0
23.258697383,102.0
23.292119920,116.0
23.325542457,124.0
23.358964994,104.0
23.392387532,121.0
23.425810069,104.0
23.459232606,112.0
23.492655143,104.0
23.526077681,122.0
23.559500218,91.0
23.592922755,107.0
23.626345292,102.0
23.659767830,96.0
23.693190367,90.0
23.726612904,124.0
23.760035441,114.0
23.793457978,111.0
23.826880516,111.0
23.860303053,113.0
23.893725590,107.0
23.927148127,85.0
23.960570665,109.0
23.993993202,109.0
24.027415739,99.0
24.060838276,115.0
24.094260814,99.0
24.127683351,103.0
24.161105888,113.0
24.194528425,87.0
24.227950963,95.0
24.261373500,81.0
24.294796037,110.0
24.328218574,112.0
24.361641112,107.0
24.395063649,99.0
24.428486186,116.0
24.461908723,107.0
24.495331261,90.0
24.528753798,97.0
24.562176335,116.0
24.595598872,92.0
24.629021410,105.0
