[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Reflection-transmission spinner, Owner=User-1, Creation date=5/11/2015 1:51:45 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Reflection-transmission spinner; Minimum step size Phi:0.1"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Esin Scan.xrdmp, Identifier={545BE9EB-C830-47C9-A564-E4EDE9967014}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,29/Jan/2020 10:55
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.000000001,89.986792989
Scan step size,0.0334225
No. of points, 2094
Scan type,CONTINUOUS
Phi,286.4
Time per step,29.845
[Scan points]
Angle,Intensity
20.016711270,135.0
20.050133807,134.0
20.083556344,124.0
20.116978882,136.0
20.150401419,141.0
20.183823956,128.0
20.217246493,119.0
20.250669031,116.0
20.284091568,109.0
20.317514105,136.0
20.350936642,120.0
20.384359180,127.0
20.417781717,111.0
20.451204254,116.0
20.484626791,119.0
20.518049329,155.0
20.551471866,120.0
20.584894403,135.0
20.618316940,114.0
20.651739478,129.0
20.685162015,132.0
20.718584552,116.0
20.752007089,119.0
20.785429627,128.0
20.818852164,127.0
20.852274701,133.0
20.885697238,112.0
20.919119776,110.0
20.952542313,112.0
20.985964850,105.0
21.019387387,135.0
21.052809925,119.0
21.086232462,127.0
21.119654999,128.0
21.153077536,104.0
21.186500074,102.0
21.219922611,100.0
21.253345148,134.0
21.286767685,128.0
21.320190222,116.0
21.353612760,125.0
21.387035297,108.0
21.420457834,129.0
21.453880371,128.0
21.487302909,148.0
21.520725446,110.0
21.554147983,122.0
21.587570520,136.0
21.620993058,121.0
21.654415595,112.0
21.687838132,110.0
21.721260669,111.0
21.754683207,114.0
21.788105744,107.0
21.821528281,119.0
21.854950818,110.0
21.888373356,128.0
21.921795893,105.0
21.955218430,91.0
21.988640967,115.0
22.022063505,113.0
22.055486042,105.0
22.088908579,96.0
22.122331116,122.0
22.155753654,129.0
22.189176191,97.0
22.222598728,111.0
22.256021265,120.0
22.289443803,125.0
22.322866340,100.0
22.356288877,115.0
22.389711414,129.0
22.423133952,120.0
22.456556489,115.0
22.489979026,108.0
22.523401563,108.0
22.556824100,103.0
22.590246638,103.0
22.623669175,88.0
22.657091712,87.0
22.690514249,117.0
22.723936787,95.0
22.757359324,107.0
22.790781861,104.0
22.824204398,93.0
22.857626936,102.0
22.891049473,112.0
22.924472010,109.0
22.957894547,113.0
22.991317085,108.0
23.024739622,93.0
23.058162159,111.0
23.091584696,100.0
23.125007234,123.0
23.158429771,120.0
23.191852308,105.0
23.225274845,93.0
23.258697383,98.0
23.292119920,117.0
23.325542457,104.0
23.358964994,91.0
23.392387532,100.0
23.425810069,110.0
23.459232606,111.0
23.492655143,91.0
23.526077681,96.0
23.559500218,110.0
23.592922755,110.0
23.626345292,89.0
23.659767830,97.0
23.693190367,116.0
23.726612904,101.0
23.760035441,95.0
23.793457978,98.0
23.826880516,110.0
23.860303053,96.0
23.893725590,95.0
23.927148127,107.0
23.960570665,101.0
23.993993202,112.0
24.027415739,102.0
24.060838276,97.0
24.094260814,111.0
24.127683351,90.0
24.161105888,90.0
24.194528425,123.0
24.227950963,102.0
24.261373500,107.0
24.294796037,111.0
24.328218574,100.0
24.361641112,93.0
24.395063649,92.0
24.428486186,89.0
24.461908723,115.0
24.495331261,89.0
24.528753798,107.0
24.562176335,107.0
24.595598872,111.0
24.629021410,96.0
