[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Reflection-transmission spinner, Owner=User-1, Creation date=5/11/2015 1:51:45 PM"
Comment - 2,"Goniometer=Theta/Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Reflection-transmission spinner; Minimum step size Phi:0.1"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Esin Scan.xrdmp, Identifier={545BE9EB-C830-47C9-A564-E4EDE9967014}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.19mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,29/Jan/2020 10:35
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.000000001,89.986792989
Scan step size,0.0334225
No. of points, 2094
Scan type,CONTINUOUS
Phi,271.6
Time per step,29.845
[Scan points]
Angle,Intensity
20.016711270,114.0
20.050133807,128.0
20.083556344,112.0
20.116978882,109.0
20.150401419,127.0
20.183823956,103.0
20.217246493,119.0
20.250669031,123.0
20.284091568,116.0
20.317514105,109.0
20.350936642,108.0
20.384359180,131.0
20.417781717,116.0
20.451204254,103.0
20.484626791,127.0
20.518049329,136.0
20.551471866,107.0
20.584894403,101.0
20.618316940,102.0
20.651739478,113.0
20.685162015,91.0
20.718584552,121.0
20.752007089,127.0
20.785429627,114.0
20.818852164,88.0
20.852274701,131.0
20.885697238,108.0
20.919119776,123.0
20.952542313,105.0
20.985964850,117.0
21.019387387,103.0
21.052809925,112.0
21.086232462,102.0
21.119654999,102.0
21.153077536,87.0
21.186500074,119.0
21.219922611,84.0
21.253345148,114.0
21.286767685,102.0
21.320190222,100.0
21.353612760,110.0
21.387035297,98.0
21.420457834,119.0
21.453880371,111.0
21.487302909,87.0
21.520725446,101.0
21.554147983,107.0
21.587570520,89.0
21.620993058,115.0
21.654415595,119.0
21.687838132,100.0
21.721260669,97.0
21.754683207,103.0
21.788105744,95.0
21.821528281,99.0
21.854950818,115.0
21.888373356,102.0
21.921795893,114.0
21.955218430,98.0
21.988640967,103.0
22.022063505,105.0
22.055486042,104.0
22.088908579,101.0
22.122331116,102.0
22.155753654,100.0
22.189176191,100.0
22.222598728,88.0
22.256021265,101.0
22.289443803,103.0
22.322866340,102.0
22.356288877,96.0
22.389711414,96.0
22.423133952,113.0
22.456556489,95.0
22.489979026,91.0
22.523401563,102.0
22.556824100,111.0
22.590246638,105.0
22.623669175,107.0
22.657091712,81.0
22.690514249,92.0
22.723936787,85.0
22.757359324,101.0
22.790781861,75.0
22.824204398,97.0
22.857626936,85.0
22.891049473,93.0
22.924472010,89.0
22.957894547,102.0
22.991317085,91.0
23.024739622,101.0
23.058162159,98.0
23.091584696,100.0
23.125007234,87.0
23.158429771,103.0
23.191852308,112.0
23.225274845,100.0
23.258697383,89.0
23.292119920,81.0
23.325542457,84.0
23.358964994,83.0
23.392387532,93.0
23.425810069,84.0
23.459232606,89.0
23.492655143,100.0
23.526077681,91.0
23.559500218,99.0
23.592922755,73.0
23.626345292,85.0
23.659767830,86.0
23.693190367,81.0
23.726612904,84.0
23.760035441,78.0
23.793457978,100.0
23.826880516,75.0
23.860303053,99.0
23.893725590,91.0
23.927148127,88.0
23.960570665,95.0
23.993993202,121.0
24.027415739,80.0
24.060838276,88.0
24.094260814,74.0
24.127683351,93.0
24.161105888,79.0
24.194528425,89.0
24.227950963,88.0
24.261373500,83.0
24.294796037,61.0
24.328218574,80.0
24.361641112,74.0
24.395063649,72.0
24.428486186,85.0
24.461908723,78.0
24.495331261,86.0
24.528753798,98.0
24.562176335,91.0
24.595598872,97.0
24.629021410,86.0
